category_id,month,dayparting_name,weekday,desc_row,num_tags,title_upper,title_length,popularity
24,August,12pm - 6pm,Thursday,1232,33,11,64,Very Popular
10,August,6pm - 12am,Thursday,92,5,1,31,Very Popular
10,August,6am - 12pm,Tuesday,1057,23,14,55,Hyper Popular
24,August,12pm - 6pm,Thursday,1961,30,9,59,Popular
17,August,12am - 6am,Friday,534,22,12,64,Popular
24,August,12pm - 6pm,Thursday,2071,16,18,98,Popular
24,August,6pm - 12am,Wednesday,4918,1,6,52,Highly Popular
23,August,12pm - 6pm,Thursday,296,1,8,43,Popular
17,August,12am - 6am,Friday,939,22,7,46,Very Popular
23,August,6pm - 12am,Thursday,659,1,5,40,Very Popular
10,August,6pm - 12am,Thursday,885,15,9,54,Popular
1,August,12pm - 6pm,Thursday,1052,20,5,18,Popular
24,August,12am - 6am,Thursday,223,3,7,46,Popular
10,August,12pm - 6pm,Thursday,655,17,28,68,Hyper Popular
10,August,12am - 6am,Friday,397,23,7,49,Popular
24,August,12am - 6am,Wednesday,1995,30,12,88,Very Popular
